ID_sonda;ID_poco;Local_da_sonda;Lat;Lon;Cota;Diam_sond;Diam_poco;Cx_conc;Cam_calc;Pesc_comp;VOC;Prof;NA_sond;NA_estab;Prof_coleta;Topo_liso;C_liso;C_sec_filtr;Cimento_i;Cimento_f;Bentonita_i;Bentonita_f;Prefiltro_i;Prefiltro_f;Pedologia;NA_FT01
;;;m;m;m;in;in;cm;cm;cm;[ppm,ppm,...];m;m;m;m;m;m;m;m;m;m;m;m;m;[[prof,descrição,prof,descrição,...]];
SO-174;PM-174;ENTORNO PM-04;6681545.468;482772.99;7.148;6;2;3;;;[2.2,0.2,0.2,0.5,0.2,0.2];3.5;1.45;0.39;0.1;0.15;0.3;3;0.2;0.23;0.23;0.25;0.25;3.5;[[0.05,SUPERFÍCIE GRAMADA,0.9,SOLO ARENOSO MARROM ESCURO COMPACTO POUCO PLÁSTICO,3.5,SOLO ARGILOSO CINZA PLÁSTICO POUCO COMPACTO]];
SO-175;PM-175;ENTORNO PM-04;6681550.319;482769.938;7.116;6;2;3;;;[1.6,1.4,1.7,2,2.6,0.2,1.8,0.2,0.4];3.55;1.22;0.4;0.5;0.12;0.3;3;0.17;0.23;0.23;0.3;0.3;3.55;[[0.05,SUPERFÍCIE GRAMADA,1.75,SOLO ARGILOSO MARROM VARIEGADO COM LÂMINAS AVERMELHADAS POUCO COMPACTO POUCO PLÁSTICO,3.55,ARGILA SILTOSA CINZA NÃO COMPACTA NÃO PLÁSTICA]];
SO-176;PM-176;CONFORME MAPA LOCAL;6681551.986;482766.052;7;6;2;4;;;[4.2,8.6,5.5,11.2,4.3,6.1,4.2,4.4,5.4];3.6;1.35;0.32;0.4;0.12;0.31;3;0.16;0.2;0.2;0.29;0.29;3.6;[[0.05,SUPERFÍCIE GRAMADA,1,SOLO ARGILOSO MARROM ESCURO COM LÂMINAS AVERMELHADAS,1.85,ARGILA SILTOSA CINZA POUCO COMPACTA PLÁSTICA,3.6,ARGILA SILTOSA CINZA NÃO COMPACTA POUCO PLÁSTICA]];
SO-177;PM-177;CONFORME MAPA LOCAL;6681547.211;482764.256;7.425;6;2;3;;;[17.8,17.8,46,9.8,3.2];3.8;1.15;0.51;0.3;0.14;0.5;3;0.18;0.29;0.29;0.36;0.36;3.8;[[0.05,SUPERFÍCIE GRAMADA,0.7,SOLO ARGILOSO MARROM ESCURO COM LÂMINAS AVERMELHADAS COMPACTO PLÁSTICO,1.5,ARGILA SILTOSA CINZA POUCO COMPACTA PLÁSTICA,3.8,ARGILA SILTOSA CINZA NÃO COMPACTA POUCO PLÁSTICA]];
SO-178;PM-178;ENTORNO PM-04 (ABAIXO BACIA);6681544.311;482768.677;7.561;6;2;3;;;[0.3,1,2.5,2.3,1.4,1.8,1.6];3.5;1.6;0.62;0.3;0.13;0.37;3;0.03;0.17;0.17;0.25;0.25;3.5;[[0.05,SUPERFÍCIE GRAMADA COM DESNÍVEL,1.5,SOLO ARGILOSO MARROM ESCURO COMPACTO POUCO PLÁSTICO,3.5,SOLO ARGILOSO MARROM VARIEGADA COM CINZA COMPACTA E PLÁSTICA]];
